NODE,mcc_mean,mcc_std,mcc_p10,mcc_p90,n
COVE_1_GEO-APND,0.0,0.0,0.0,0.0,96
COYOTESP_5_GEN_CC-APND,0.0,0.0,0.0,0.0,96
CPG_2_BLKA-APND,0.0,0.0,0.0,0.0,96
CPG_2_BLKB-APND,0.0,0.0,0.0,0.0,96
CPG_2_BLKC-APND,0.0,0.0,0.0,0.0,96
CPP_2_PL-APND,0.0,0.0,0.0,0.0,96
CPXG_6_SOLAR-APND,0.0,0.0,0.0,0.0,96
CRESTA_7_PL1X2-APND,5.102540104166667,20.17848565432628,-10.67922,21.928455,96
CROOKEDF_1_CFALLS-APND,0.0,0.0,0.0,0.0,96
CSF_1_HIGHLNDS_PLANT-APND,0.0,0.0,0.0,0.0,96
CSG_2_PL-APND,0.0,0.0,0.0,0.0,96
CSP1_5_COYOTE1-APND,0.0,0.0,0.0,0.0,96
CUSHMAN_7_GEN-APND,0.0,0.0,0.0,0.0,96
CWP_1_CONDWIND_PLANT-APND,0.0,0.0,0.0,0.0,96
CYP1_5_CARTY1-APND,0.0,0.0,0.0,0.0,96
CZF_2_COWFALLS_PLANT-APND,0.0,0.0,0.0,0.0,96
DAVIS_2_HYDR-APND,0.0,0.0,0.0,0.0,96
DBN_2_BLK1-APND,0.0,0.0,0.0,0.0,96
DC_ADLNTO-APND,-4.841664791666667,10.306771640722426,-11.519335,0.0,96
DC_ADLNTO_BURB-APND,-4.841664791666667,10.306771640722422,-11.519335,0.0,96
DC_ADLNTO_GLEN-APND,-4.841664791666667,10.30677164072242,-11.519335,0.0,96
DC_ADLNTO_LADWP-APND,-4.841664791666667,10.306771640722422,-11.519335,0.0,96
DC_CELILO-APND,6.570900937499999,14.654035157769597,-0.03735,16.577489999999997,96
DC_CELILO_BURB-APND,6.570900937499999,14.654035157769604,-0.03735,16.577489999999997,96
DC_CELILO_GLEN-APND,6.570900937499999,14.654035157769597,-0.03735,16.577489999999997,96
DC_CELILO_LADWP-APND,6.570900937499999,14.654035157769597,-0.03735,16.577489999999997,96
DC_INTMNT-APND,-0.6321014583333333,2.0123181759793347,-2.7115,0.219315,96
DC_INTMTN_BURB-APND,-0.6321014583333333,2.012318175979335,-2.7115,0.219315,96
DC_INTMTN_GLEN-APND,-0.6321014583333333,2.0123181759793356,-2.7115,0.219315,96
DC_INTMTN_LADWP-APND,-0.6321014583333333,2.0123181759793343,-2.7115,0.219315,96
DC_SYLMAR-APND,-5.393468854166667,10.800437153450085,-13.244225,0.0,96
DC_SYLMAR_BURB-APND,-5.393415833333333,10.800384281171972,-13.24381,0.0,96
DC_SYLMAR_GLEN-APND,-5.393415833333333,10.800384281171974,-13.24381,0.0,96
DC_SYLMAR_LADWP-APND,-5.393415833333333,10.800384281171972,-13.24381,0.0,96
DELSUR_6_CREST-APND,-5.645958125,11.538681298959354,-16.291305,0.0,96
DELTA_2_PL1X4-APND,9.527801875,18.180104653875798,0.0,28.6266,96
DET_2_DETROIT_PLANT-APND,0.0,0.0,0.0,0.0,96
DGAP_AESO-APND,0.0,0.0,0.0,0.0,96
DGAP_AVA-APND,5.7438323958333335,13.237864215137835,-0.038595,15.359570000000001,96
DGAP_AVRN-APND,0.0,0.0,0.0,0.0,96
DGAP_AZPS-APND,-4.678795208333333,11.009397896678232,-9.776209999999999,0.0,96
DGAP_BANC-APND,0.0,0.0,0.0,0.0,96
DGAP_BCHA-APND,0.0,0.0,0.0,0.0,96
DGAP_BPAT-APND,6.3535296875,14.264479242230108,-0.03735,16.23067,96
DGAP_BURBANK-APND,-4.4506484375,9.136692664759272,-9.690115,0.0,96
DGAP_CEN-APND,0.0,0.0,0.0,0.0,96
DGAP_CHPD-APND,0.0,0.0,0.0,0.0,96
